ip_addresses,frequency
10.133.19.67,5
198.252.206.25,200
142.250.191.99,45
142.250.191.106,23
162.159.134.234,164
151.101.148.193,34
142.250.190.46,22
151.101.65.69,99
17.248.139.208,58
137.22.1.7,94
142.250.191.238,82
142.250.190.10,122
162.159.133.234,100
162.159.137.232,78
142.250.123.188,34
140.82.112.26,34
142.250.190.4,89
