frame.number	ip.src	ip.dst
196	142.251.32.10	10.133.19.67
197	142.251.32.10	10.133.19.67
198	142.251.32.10	10.133.19.67
199	142.251.32.10	10.133.19.67
200	142.251.32.10	10.133.19.67
201	142.251.32.10	10.133.19.67
202	10.133.19.67	142.251.32.10
203	142.251.32.10	10.133.19.67
204	142.251.32.10	10.133.19.67
205	142.251.32.10	10.133.19.67
206	10.133.19.67	142.250.190.74
207	10.133.19.67	142.251.32.10
208	10.133.19.67	142.250.190.74
209	10.133.19.67	142.251.32.10
210	10.133.19.67	142.251.32.10
211	142.251.32.10	10.133.19.67
212	142.251.32.10	10.133.19.67
213	142.251.32.10	10.133.19.67
214	10.133.19.67	142.251.32.10
215	10.133.19.67	142.251.32.10
216	142.251.32.10	10.133.19.67
217	142.251.32.10	10.133.19.67
218	142.251.32.10	10.133.19.67
219	142.251.32.10	10.133.19.67
220	142.251.32.10	10.133.19.67
221	142.251.32.10	10.133.19.67
222	142.251.32.10	10.133.19.67
223	142.251.32.10	10.133.19.67
224	142.251.32.10	10.133.19.67
225	142.251.32.10	10.133.19.67
226	10.133.19.67	142.251.32.10
227	10.133.19.67	142.251.32.10
228	10.133.19.67	142.251.32.10
229	142.251.32.10	10.133.19.67
230	10.133.19.67	142.251.32.10
231	10.133.19.67	137.22.1.7
232	10.133.19.67	137.22.1.7
233	10.133.19.67	142.251.32.10
234	137.22.1.7	10.133.19.67
235	137.22.1.7	10.133.19.67
236	10.133.19.67	142.250.191.102
237	142.250.190.74	10.133.19.67
238	142.250.190.74	10.133.19.67
239	10.133.19.67	142.250.190.74
240	142.251.32.10	10.133.19.67
241		
242	142.251.32.10	10.133.19.67
243	142.250.191.102	10.133.19.67
244	10.133.19.67	142.250.191.102
245	10.133.19.67	142.250.191.102
246	142.250.190.74	10.133.19.67
247	142.250.191.102	10.133.19.67
248	10.133.19.67	142.250.190.74
249	142.250.191.102	10.133.19.67
250	10.133.19.67	142.250.191.102
251	142.250.191.102	10.133.19.67
252	142.250.191.102	10.133.19.67
253	10.133.19.67	142.250.191.102
254	10.133.19.67	142.250.191.102
255	142.250.191.102	10.133.19.67
256	10.133.19.67	142.250.191.102
257	10.133.19.67	142.250.191.102
258	10.133.19.67	142.250.191.102
259	10.133.19.67	142.250.191.102
260	142.250.191.102	10.133.19.67
261	142.250.191.102	10.133.19.67
262	10.133.19.67	142.250.191.102
263	10.133.19.67	142.250.191.102
264	142.250.191.102	10.133.19.67
265	142.250.191.102	10.133.19.67
266	10.133.19.67	142.250.191.102
267	142.250.191.102	10.133.19.67
268	10.133.19.67	142.250.191.102
269	10.133.19.67	142.250.191.102
270	142.250.191.102	10.133.19.67
271		
272	10.133.19.67	142.250.123.188
273	142.250.123.188	10.133.19.67
274		
275	10.133.19.67	142.250.190.74
276		
277		
278	142.250.190.74	10.133.19.67
279	142.250.190.74	10.133.19.67
280	142.250.190.74	10.133.19.67
281	10.133.19.67	142.250.190.74
282	10.133.19.67	142.250.190.74
283	10.133.19.67	142.250.190.74
284	142.250.190.74	10.133.19.67
285	142.250.190.74	10.133.19.67
286	142.250.190.74	10.133.19.67
287	10.133.19.67	142.250.190.74
288	10.133.19.67	142.250.190.74
289	142.250.190.74	10.133.19.67
290		
291	162.159.134.234	10.133.19.67
292	10.133.19.67	162.159.134.234
293		
294		
295	10.133.19.67	142.250.190.110
296		
297		
298	142.250.190.110	10.133.19.67
299	10.133.19.67	142.250.190.110
300	142.250.190.110	10.133.19.67
301	142.250.190.110	10.133.19.67
302	142.250.190.110	10.133.19.67
303	10.133.19.67	142.250.190.110
304	142.250.190.110	10.133.19.67
305	10.133.19.67	142.250.190.110
306	10.133.19.67	142.250.190.110
307	142.250.190.110	10.133.19.67
308	142.250.190.110	10.133.19.67
309	10.133.19.67	142.250.190.110
310	10.133.19.67	142.250.190.110
311	10.133.19.67	142.250.190.110
312	10.133.19.67	142.250.190.110
313	142.250.190.110	10.133.19.67
314	142.250.190.110	10.133.19.67
315	10.133.19.67	142.250.190.110
316	142.250.190.110	10.133.19.67
317	10.133.19.67	142.250.190.110
318	142.250.190.110	10.133.19.67
319	142.250.190.110	10.133.19.67
320	142.250.190.110	10.133.19.67
321	142.250.190.110	10.133.19.67
322	142.250.190.110	10.133.19.67
323	142.250.190.110	10.133.19.67
324	142.250.190.110	10.133.19.67
325	142.250.190.110	10.133.19.67
326	142.250.190.110	10.133.19.67
327	142.250.190.110	10.133.19.67
328	142.250.190.110	10.133.19.67
329	142.250.190.110	10.133.19.67
330	142.250.190.110	10.133.19.67
331	10.133.19.67	142.250.190.110
332	142.250.190.110	10.133.19.67
333	142.250.190.110	10.133.19.67
334	10.133.19.67	142.250.190.110
335		
336	10.133.19.67	142.250.190.4
337	10.133.19.67	142.250.190.110
338	10.133.19.67	142.250.190.4
339	142.250.190.110	10.133.19.67
340	142.250.190.4	10.133.19.67
341	142.250.190.4	10.133.19.67
342	10.133.19.67	142.250.190.4
343	142.250.190.4	10.133.19.67
344	142.250.190.4	10.133.19.67
345	142.250.190.4	10.133.19.67
346	10.133.19.67	142.250.190.4
347	10.133.19.67	142.250.190.4
348	142.250.190.4	10.133.19.67
349	142.250.190.4	10.133.19.67
350	142.250.190.4	10.133.19.67
351	142.250.190.4	10.133.19.67
352	142.250.190.4	10.133.19.67
353	10.133.19.67	142.250.190.4
354	10.133.19.67	142.250.190.4
355	142.250.190.4	10.133.19.67
356	10.133.19.67	142.250.190.4
357	10.133.19.67	142.250.190.4
358	142.250.190.4	10.133.19.67
359	10.133.19.67	142.250.190.4
360	142.250.190.4	10.133.19.67
361	10.133.19.67	142.250.190.4
362	142.250.190.4	10.133.19.67
363	10.133.19.67	142.250.190.4
364	10.133.19.67	142.250.190.4
365	142.250.190.4	10.133.19.67
366	142.250.190.4	10.133.19.67
367	10.133.19.67	142.250.190.4
368	10.133.19.67	140.82.112.25
369	142.250.190.4	10.133.19.67
370	142.250.190.4	10.133.19.67
371	10.133.19.67	142.250.190.4
372	10.133.19.67	142.250.190.4
373	10.133.19.67	142.250.190.4
374	142.250.190.4	10.133.19.67
375	142.250.190.4	10.133.19.67
376	142.250.190.4	10.133.19.67
377	10.133.19.67	142.250.190.4
378	140.82.112.25	10.133.19.67
379	142.250.190.4	10.133.19.67
380	10.133.19.67	142.250.190.4
381		
382		
383		
384		
385	162.159.134.234	10.133.19.67
386	10.133.19.67	162.159.134.234
387		
388		
389		
390		
391		
392	10.133.19.67	142.250.190.110
393	142.250.190.110	10.133.19.67
394	142.250.190.110	10.133.19.67
395	10.133.19.67	142.250.190.110
396	10.133.19.67	142.250.190.110
397		
398	142.250.190.110	10.133.19.67
399		
400		
401		
402		
403		
404		
405		
406		
407		
408		
409		
410		
411		
412		
413		
414		
415		
416		
417		
418		
419		
420		
421		
422		
423		
424		
425		
426		
427		
428		
429		
430		
431		
432		
433	10.133.19.67	172.217.0.170
434	10.133.19.67	172.217.0.170
435	10.133.19.67	172.217.0.170
436	10.133.19.67	172.217.0.170
437	172.217.0.170	10.133.19.67
438	172.217.0.170	10.133.19.67
439	10.133.19.67	172.217.0.170
440	172.217.0.170	10.133.19.67
441	10.133.19.67	142.250.190.46
442	10.133.19.67	142.250.190.46
443	10.133.19.67	172.217.0.170
444	172.217.0.170	10.133.19.67
445	172.217.0.170	10.133.19.67
446	10.133.19.67	172.217.0.170
447	172.217.0.170	10.133.19.67
448	172.217.0.170	10.133.19.67
449	10.133.19.67	172.217.0.170
450	172.217.0.170	10.133.19.67
451	172.217.0.170	10.133.19.67
452	10.133.19.67	172.217.0.170
453	10.133.19.67	172.217.0.170
454	172.217.0.170	10.133.19.67
455	10.133.19.67	172.217.0.170
456	10.133.19.67	172.217.0.170
457	172.217.0.170	10.133.19.67
458	172.217.0.170	10.133.19.67
459	10.133.19.67	172.217.0.170
460	172.217.0.170	10.133.19.67
461	172.217.0.170	10.133.19.67
462	10.133.19.67	172.217.0.170
463	142.250.190.46	10.133.19.67
464	172.217.0.170	10.133.19.67
465	172.217.0.170	10.133.19.67
466	142.250.190.46	10.133.19.67
467	10.133.19.67	172.217.0.170
468	10.133.19.67	142.250.190.46
469	172.217.0.170	10.133.19.67
470	172.217.0.170	10.133.19.67
471	172.217.0.170	10.133.19.67
472	10.133.19.67	172.217.0.170
473	142.250.190.46	10.133.19.67
474	142.250.190.46	10.133.19.67
475	10.133.19.67	142.250.190.46
476	10.133.19.67	142.250.190.46
477	172.217.0.170	10.133.19.67
478		
479		
480	142.250.190.46	10.133.19.67
481		
482	151.101.148.193	10.133.19.67
483	151.101.148.193	10.133.19.67
484	10.133.19.67	151.101.148.193
485	10.133.19.67	151.101.148.193
486	151.101.148.193	10.133.19.67
487	10.133.19.67	151.101.148.193
488	151.101.148.193	10.133.19.67
489		
490	10.133.19.67	172.217.4.78
491	172.217.4.78	10.133.19.67
492	10.133.19.67	172.217.4.78
493	172.217.4.78	10.133.19.67
494	172.217.4.78	10.133.19.67
495	10.133.19.67	172.217.4.78
496	172.217.4.78	10.133.19.67
497	172.217.4.78	10.133.19.67
498	10.133.19.67	172.217.4.78
499	10.133.19.67	172.217.4.78
500	172.217.4.78	10.133.19.67
501	172.217.4.78	10.133.19.67
502	10.133.19.67	172.217.4.78
503	172.217.4.78	10.133.19.67
504	172.217.4.78	10.133.19.67
505		
506	172.217.4.78	10.133.19.67
507	172.217.4.78	10.133.19.67
508	10.133.19.67	172.217.4.78
509	10.133.19.67	172.217.4.78
510	172.217.4.78	10.133.19.67
511		
512		
513		
514		
515		
516		
517		
518		
519		
520		
521		
522		
523		
524		
525	151.101.65.69	10.133.19.67
526	151.101.65.69	10.133.19.67
527	10.133.19.67	151.101.65.69
528	10.133.19.67	151.101.65.69
529	151.101.65.69	10.133.19.67
530	10.133.19.67	151.101.65.69
531	151.101.65.69	10.133.19.67
532		
533	10.133.19.67	142.250.190.46
534	142.250.190.46	10.133.19.67
535	10.133.19.67	142.250.190.46
536	142.250.190.46	10.133.19.67
537	142.250.190.46	10.133.19.67
538	10.133.19.67	142.250.190.46
539	10.133.19.67	142.250.190.46
540	142.250.190.46	10.133.19.67
541		
542		
543		
544		
545	142.250.191.106	10.133.19.67
546	10.133.19.67	142.250.191.106
547		
548		
549		
550	10.133.19.67	142.250.191.106
551	142.250.191.106	10.133.19.67
552		
553		
554		
555	162.159.134.234	10.133.19.67
556	10.133.19.67	162.159.134.234
557		
558		
559	10.133.19.67	142.250.191.106
560		
561		
562		
563	142.250.191.106	10.133.19.67
564		
565		
566		
567		
568	10.133.19.67	142.250.191.106
569	142.250.191.106	10.133.19.67
570		
571		
572		
573		
574		
575		
576	10.133.19.67	142.250.191.106
577	142.250.191.106	10.133.19.67
578		
579	10.133.19.67	142.250.191.106
580	142.250.191.106	10.133.19.67
581		
582		
583	10.133.19.67	142.250.191.106
584	142.250.191.106	10.133.19.67
585		
586		
587		
588		
589		
590		
591	10.133.19.67	142.250.191.106
592	142.250.191.106	10.133.19.67
593		
594		
595		
596		
597		
598		
599		
600		
601		
602		
603		
604		
605		
606	10.133.19.67	142.250.191.106
607		
608		
609	142.250.191.106	10.133.19.67
610		
611		
612		
613		
614		
615		
616		
617		
618		
619		
620		
621		
622		
623		
624		
625		
626		
627		
628		
629		
630		
631		
632		
633	10.133.19.67	142.250.191.106
634	142.250.191.106	10.133.19.67
635		
636		
637		
638		
639		
640		
641	10.133.19.67	142.250.190.110
642	10.133.19.67	142.250.190.110
643	10.133.19.67	142.250.190.110
644	10.133.19.67	142.250.190.110
645	10.133.19.67	142.250.190.110
646	10.133.19.67	142.250.190.110
647	10.133.19.67	142.250.190.110
648	10.133.19.67	142.250.190.110
649	10.133.19.67	142.250.190.110
650	10.133.19.67	142.250.190.110
651	10.133.19.67	142.250.190.110
652	10.133.19.67	142.250.190.110
653	10.133.19.67	142.250.190.110
654	142.250.190.110	10.133.19.67
655	142.250.190.110	10.133.19.67
656	10.133.19.67	142.250.190.110
657	142.250.190.110	10.133.19.67
658	142.250.190.110	10.133.19.67
659	10.133.19.67	142.250.190.110
660	10.133.19.67	142.250.190.110
661		
662		
663	142.250.190.110	10.133.19.67
664		
665		
666		
667		
668		
669		
670		
671		
672		
673		
674	10.133.19.67	172.217.1.101
675	172.217.1.101	10.133.19.67
676	10.133.19.67	137.22.1.7
677	10.133.19.67	137.22.1.7
678	137.22.1.7	10.133.19.67
679	137.22.1.7	10.133.19.67
680	10.133.19.67	142.250.191.99
681	10.133.19.67	142.250.191.99
682	10.133.19.67	142.250.191.99
683	142.250.191.99	10.133.19.67
684	142.250.191.99	10.133.19.67
685	142.250.191.99	10.133.19.67
686	142.250.191.99	10.133.19.67
687	10.133.19.67	142.250.191.99
688	10.133.19.67	142.250.191.99
689	142.250.191.99	10.133.19.67
690	10.133.19.67	142.250.191.99
691		
692	142.250.191.99	10.133.19.67
