frame.number	ip.src	ip.dst
1		
2	10.133.19.67	137.22.1.7
3	10.133.19.67	137.22.1.7
4	137.22.1.7	10.133.19.67
5	137.22.1.7	10.133.19.67
6	10.133.19.67	142.250.190.45
7	142.250.190.45	10.133.19.67
8	10.133.19.67	142.250.190.45
9	10.133.19.67	142.250.190.45
10	142.250.190.45	10.133.19.67
11	142.250.190.45	10.133.19.67
12	10.133.19.67	142.250.190.45
13	142.250.190.45	10.133.19.67
14	142.250.190.45	10.133.19.67
15	10.133.19.67	142.250.190.45
16	10.133.19.67	142.250.190.45
17	142.250.190.45	10.133.19.67
18	10.133.19.67	142.250.190.45
19	10.133.19.67	142.250.190.45
20	10.133.19.67	142.250.190.45
21	10.133.19.67	142.250.190.45
22	10.133.19.67	142.250.190.45
23		
24		
25	142.250.190.45	10.133.19.67
26	142.250.190.45	10.133.19.67
27	10.133.19.67	142.250.190.45
28	10.133.19.67	142.250.190.45
29	142.250.190.45	10.133.19.67
30	142.250.190.45	10.133.19.67
31	10.133.19.67	142.250.190.45
32	142.250.190.45	10.133.19.67
33	142.250.190.45	10.133.19.67
34	10.133.19.67	142.250.190.45
35	142.250.190.45	10.133.19.67
36	10.133.19.67	142.250.190.45
37	10.133.19.67	142.250.190.45
38	142.250.190.45	10.133.19.67
39	10.133.19.67	140.82.112.26
40	10.133.19.67	17.253.25.207
41	17.253.25.207	10.133.19.67
42	17.253.25.207	10.133.19.67
43	17.253.25.207	10.133.19.67
44	140.82.112.26	10.133.19.67
45	10.133.19.67	17.253.25.207
46	10.133.19.67	172.217.4.195
47	10.133.19.67	17.253.25.207
48	10.133.19.67	17.253.25.207
49	17.253.25.207	10.133.19.67
50	172.217.4.195	10.133.19.67
51	10.133.19.67	17.253.25.207
52	10.133.19.67	172.217.4.195
53	10.133.19.67	142.250.190.46
54	142.250.190.46	10.133.19.67
55	10.133.19.67	142.250.190.46
56		
57		
58		
59	142.250.190.46	10.133.19.67
60	142.250.190.46	10.133.19.67
61	10.133.19.67	142.250.190.46
62	142.250.190.46	10.133.19.67
63	10.133.19.67	142.250.190.46
64	142.250.190.46	10.133.19.67
65		
66		
67	10.133.19.67	239.255.255.250
68		
69		
70		
71		
72		
73		
74		
75		
76		
77	10.133.19.67	239.255.255.250
78		
79		
80		
81		
82		
83		
84		
85		
86	10.133.19.67	239.255.255.250
87		
88		
89		
90	10.133.19.67	142.250.190.46
91	142.250.190.46	10.133.19.67
92	10.133.19.67	142.250.190.46
93	142.250.190.46	10.133.19.67
94	142.250.190.46	10.133.19.67
95	10.133.19.67	142.250.190.46
96	10.133.19.67	142.250.190.46
97	142.250.190.46	10.133.19.67
98		
99		
100		
101		
102		
103		
104		
105		
106		
107		
108		
109	142.250.191.106	10.133.19.67
110	10.133.19.67	142.250.191.106
111	10.133.19.67	142.250.191.106
112	142.250.191.106	10.133.19.67
113		
114		
115		
116	10.133.19.67	142.250.191.106
117	142.250.191.106	10.133.19.67
118		
119		
120		
121	10.133.19.67	142.250.191.106
122		
123		
124	142.250.191.106	10.133.19.67
125		
126		
127	10.133.19.67	142.250.191.106
128	142.250.191.106	10.133.19.67
129		
130	10.133.19.67	142.250.191.106
131	142.250.191.106	10.133.19.67
132	10.133.19.67	142.250.191.106
133	142.250.191.106	10.133.19.67
134		
135		
136		
137		
138		
139		
140	10.133.19.67	142.250.191.106
141	142.250.191.106	10.133.19.67
142		
143		
144		
145		
146	10.133.19.67	142.250.191.106
147	142.250.191.106	10.133.19.67
148		
149		
150		
151		
152		
153		
154		
155		
156		
157		
158		
159		
160	10.133.19.67	142.250.191.106
161	142.250.191.106	10.133.19.67
162		
163		
164		
165		
166		
167	10.133.19.67	137.22.1.7
168	10.133.19.67	137.22.1.7
169	137.22.1.7	10.133.19.67
170	137.22.1.7	10.133.19.67
171	10.133.19.67	142.250.191.99
172	10.133.19.67	142.250.191.99
173	10.133.19.67	142.250.191.99
174	142.250.191.99	10.133.19.67
175	142.250.191.99	10.133.19.67
176	142.250.191.99	10.133.19.67
177	10.133.19.67	142.250.191.99
178	142.250.191.99	10.133.19.67
179	10.133.19.67	142.250.191.99
180	142.250.191.99	10.133.19.67
181	10.133.19.67	142.250.191.99
182	142.250.191.99	10.133.19.67
183	142.250.191.99	10.133.19.67
184	10.133.19.67	142.250.191.99
185	142.250.191.99	10.133.19.67
186	10.133.19.67	142.250.191.99
187	142.250.191.99	10.133.19.67
188		
189		
190		
191		
192		
193		
194		
195		
196		
197		
198		
199		
200		
201		
202		
203		
204		
205		
206		
207		
208		
209		
210		
211	10.133.19.67	142.250.191.106
212	142.250.191.106	10.133.19.67
213		
214		
215		
216	10.133.19.67	137.22.1.7
217	10.133.19.67	137.22.1.7
218	137.22.1.7	10.133.19.67
219	137.22.1.7	10.133.19.67
220	10.133.19.67	172.217.1.106
221	172.217.1.106	10.133.19.67
222	10.133.19.67	172.217.1.106
223	10.133.19.67	172.217.1.106
224	172.217.1.106	10.133.19.67
225	172.217.1.106	10.133.19.67
226	10.133.19.67	172.217.1.106
