frame.number	ip.src	ip.dst
1	142.250.191.106	10.133.19.67
2		
3		
4		
5		
6	10.133.19.67	137.22.1.7
7	10.133.19.67	137.22.1.7
8	137.22.1.7	10.133.19.67
9	10.133.19.67	142.250.190.45
10	137.22.1.7	10.133.19.67
11	10.133.19.67,137.22.1.7	137.22.1.7,10.133.19.67
12	142.250.190.45	10.133.19.67
13	10.133.19.67	142.250.190.45
14	10.133.19.67	142.250.190.45
15	10.133.19.67	142.250.191.106
16	142.250.190.45	10.133.19.67
17	142.250.190.45	10.133.19.67
18	10.133.19.67	142.250.190.45
19	142.250.190.45	10.133.19.67
20	142.250.190.45	10.133.19.67
21	10.133.19.67	142.250.190.45
22	142.250.190.45	10.133.19.67
23	10.133.19.67	142.250.190.45
24	10.133.19.67	142.250.190.45
25	142.250.191.106	10.133.19.67
26	10.133.19.67	142.250.190.45
27	10.133.19.67	142.250.190.45
28	10.133.19.67	142.250.190.45
29	10.133.19.67	142.250.190.45
30	142.250.190.45	10.133.19.67
31	142.250.190.45	10.133.19.67
32	10.133.19.67	142.250.190.45
33	10.133.19.67	142.250.190.45
34	142.250.190.45	10.133.19.67
35	10.133.19.67	142.250.190.45
36	142.250.190.45	10.133.19.67
37	142.250.190.45	10.133.19.67
38	10.133.19.67	142.250.190.45
39	142.250.190.45	10.133.19.67
40	10.133.19.67	142.250.190.45
41	10.133.19.67	142.250.190.45
42	142.250.190.45	10.133.19.67
43		
44		
45		
46		
47		
48		
49	142.250.190.46	10.133.19.67
50	10.133.19.67	142.250.190.46
51	10.133.19.67	142.250.191.106
52		
53	142.250.191.106	10.133.19.67
54		
55		
56	10.133.19.67	239.255.255.250
57		
58		
59		
60	10.133.19.67	142.250.190.46
61	142.250.190.46	10.133.19.67
62	10.133.19.67	142.250.190.46
63	142.250.190.46	10.133.19.67
64	142.250.190.46	10.133.19.67
65	10.133.19.67	142.250.190.46
66	10.133.19.67	142.250.190.46
67	142.250.190.46	10.133.19.67
68		
69	10.133.19.67	142.250.191.106
70	142.250.191.106	10.133.19.67
71		
72		
73		
74	10.133.19.67	239.255.255.250
75		
76		
77		
78		
79		
80		
81	10.133.19.67	239.255.255.250
82	10.133.19.67	142.250.191.106
83	142.250.191.106	10.133.19.67
84	10.133.19.67	137.22.1.7
85	10.133.19.67	137.22.1.7
86	10.133.19.67	137.22.1.7
87	137.22.1.7	10.133.19.67
88	137.22.1.7	10.133.19.67
89	137.22.1.7	10.133.19.67
90	10.133.19.67	137.22.1.7
91	137.22.1.7	10.133.19.67
92		
93		
94		
95		
96		
97		
98		
99		
100		
101		
102		
103		
104		
105		
106		
107		
108		
109	10.133.19.67	137.22.1.7
110	10.133.19.67	137.22.1.7
111	137.22.1.7	10.133.19.67
112	137.22.1.7	10.133.19.67
113	10.133.19.67	137.22.1.7
114	137.22.1.7	10.133.19.67
115	10.133.19.67	23.222.194.123
116	23.222.194.123	10.133.19.67
117	10.133.19.67	23.222.194.123
118	10.133.19.67	23.222.194.123
119	23.222.194.123	10.133.19.67
120	23.222.194.123	10.133.19.67
121	23.222.194.123	10.133.19.67
122	10.133.19.67	23.222.194.123
123	10.133.19.67	23.222.194.123
124	23.222.194.123	10.133.19.67
125	10.133.19.67	23.222.194.123
126	23.222.194.123	10.133.19.67
127	10.133.19.67	23.222.194.123
128	23.222.194.123	10.133.19.67
129	10.133.19.67	23.222.194.123
130	23.222.194.123	10.133.19.67
131	10.133.19.67	23.222.194.123
132	10.133.19.67	142.250.123.188
133	10.133.19.67	137.22.1.7
134	10.133.19.67	137.22.1.7
135	137.22.1.7	10.133.19.67
136	137.22.1.7	10.133.19.67
137	10.133.19.67	137.22.1.7
138	137.22.1.7	10.133.19.67
139	10.133.19.67	17.253.25.207
140	10.133.19.67	23.222.194.123
141	142.250.123.188	10.133.19.67
142	23.222.194.123	10.133.19.67
143	23.222.194.123	10.133.19.67
144	17.253.25.207	10.133.19.67
145	23.222.194.123	10.133.19.67
146	23.222.194.123	10.133.19.67
147	10.133.19.67	23.222.194.123
148	10.133.19.67	23.222.194.123
149	10.133.19.67	23.222.194.123
150	10.133.19.67	23.222.194.123
151	10.133.19.67	17.253.25.207
152	10.133.19.67	17.253.25.207
153	10.133.19.67	23.222.194.123
154	23.222.194.123	10.133.19.67
155	23.222.194.123	10.133.19.67
156	17.253.25.207	10.133.19.67
157	17.253.25.207	10.133.19.67
158	17.253.25.207	10.133.19.67
159	17.253.25.207	10.133.19.67
160	17.253.25.207	10.133.19.67
161		
162	10.133.19.67	17.253.25.207
163	10.133.19.67	17.253.25.207
164	10.133.19.67	17.253.25.207
165	10.133.19.67	17.253.25.207
166	10.133.19.67	17.253.25.207
167	10.133.19.67	17.253.25.207
168	17.253.25.207	10.133.19.67
169	17.253.25.207	10.133.19.67
170	17.253.25.207	10.133.19.67
171	10.133.19.67	17.253.25.207
172	10.133.19.67	17.253.25.207
173	17.253.25.207	10.133.19.67
174	17.253.25.207	10.133.19.67
175	17.253.25.207	10.133.19.67
176	10.133.19.67	17.253.25.207
177	10.133.19.67	137.22.1.7
178	10.133.19.67	137.22.1.7
179	137.22.1.7	10.133.19.67
180	137.22.1.7	10.133.19.67
181	10.133.19.67	137.22.1.7
182	137.22.1.7	10.133.19.67
183	10.133.19.67	17.253.23.208
184	23.222.194.123	10.133.19.67
185	23.222.194.123	10.133.19.67
186	17.253.23.208	10.133.19.67
187	10.133.19.67	23.222.194.123
188	10.133.19.67	17.253.23.208
189	10.133.19.67	17.253.23.208
190	17.253.23.208	10.133.19.67
191	17.253.23.208	10.133.19.67
192		
193	10.133.19.67	17.253.23.208
194	10.133.19.67	17.253.23.208
195	17.253.23.208	10.133.19.67
196	17.253.23.208	10.133.19.67
197	17.253.23.208	10.133.19.67
198	17.253.23.208	10.133.19.67
199	17.253.23.208	10.133.19.67
200	10.133.19.67	17.253.23.208
201	10.133.19.67	17.253.23.208
202	10.133.19.67	17.253.23.208
203	10.133.19.67	17.253.23.208
204	10.133.19.67	137.22.1.7
205	137.22.1.7	10.133.19.67
206	10.133.19.67	172.217.4.195
207	172.217.4.195	10.133.19.67
208		
209	10.133.19.67	172.217.4.195
210	10.133.19.67	172.217.4.195
211	172.217.4.195	10.133.19.67
212	172.217.4.195	10.133.19.67
213	10.133.19.67	172.217.4.195
214	10.133.19.67	17.253.23.208
215	17.253.23.208	10.133.19.67
216	17.253.23.208	10.133.19.67
217	10.133.19.67	17.253.23.208
218	10.133.19.67	17.253.23.208
219		
220	17.253.23.208	10.133.19.67
221	10.133.19.67	17.253.23.208
222	17.253.23.208	10.133.19.67
223	17.253.23.208	10.133.19.67
224	17.253.23.208	10.133.19.67
225	17.253.23.208	10.133.19.67
226	17.253.23.208	10.133.19.67
227	17.253.23.208	10.133.19.67
228	10.133.19.67	17.253.23.208
229	10.133.19.67	17.253.23.208
230	10.133.19.67	17.253.23.208
231	17.253.23.208	10.133.19.67
232	17.253.23.208	10.133.19.67
233	10.133.19.67	17.253.23.208
234	10.133.19.67	17.253.23.208
235	17.253.23.208	10.133.19.67
236	10.133.19.67	17.253.23.208
237	17.253.23.208	10.133.19.67
238		
239		
240		
241	10.133.19.67	142.250.191.106
242	142.250.191.106	10.133.19.67
243		
244		
245		
246		
247	10.133.19.67	137.22.1.7
248	10.133.19.67	137.22.1.7
249	137.22.1.7	10.133.19.67
250	137.22.1.7	10.133.19.67
251	10.133.19.67	137.22.1.7
252	137.22.1.7	10.133.19.67
253	10.133.19.67	44.235.78.64
254	44.235.78.64	10.133.19.67
255	10.133.19.67	44.235.78.64
256	10.133.19.67	44.235.78.64
257	44.235.78.64	10.133.19.67
258	44.235.78.64	10.133.19.67
259	44.235.78.64	10.133.19.67
260	10.133.19.67	44.235.78.64
261	10.133.19.67	44.235.78.64
262	44.235.78.64	10.133.19.67
263	10.133.19.67	44.235.78.64
264	10.133.19.67	44.235.78.64
265	10.133.19.67	44.235.78.64
266	10.133.19.67	44.235.78.64
267	10.133.19.67	44.235.78.64
268	10.133.19.67	44.235.78.64
269	10.133.19.67	44.235.78.64
270	10.133.19.67	44.235.78.64
271	10.133.19.67	44.235.78.64
272	10.133.19.67	44.235.78.64
273	10.133.19.67	44.235.78.64
274	10.133.19.67	44.235.78.64
275	44.235.78.64	10.133.19.67
276	44.235.78.64	10.133.19.67
277	10.133.19.67	44.235.78.64
278	44.235.78.64	10.133.19.67
279	44.235.78.64	10.133.19.67
280	44.235.78.64	10.133.19.67
281	44.235.78.64	10.133.19.67
282	44.235.78.64	10.133.19.67
283	44.235.78.64	10.133.19.67
284	10.133.19.67	44.235.78.64
285	10.133.19.67	44.235.78.64
286	44.235.78.64	10.133.19.67
287	44.235.78.64	10.133.19.67
288	10.133.19.67	44.235.78.64
289	10.133.19.67	44.235.78.64
290	10.133.19.67	44.235.78.64
291	10.133.19.67	44.235.78.64
292	10.133.19.67	44.235.78.64
293	10.133.19.67	44.235.78.64
294	10.133.19.67	44.235.78.64
295	10.133.19.67	44.235.78.64
296	10.133.19.67	44.235.78.64
297	10.133.19.67	44.235.78.64
298	10.133.19.67	44.235.78.64
299	10.133.19.67	44.235.78.64
300	10.133.19.67	44.235.78.64
301	10.133.19.67	44.235.78.64
302	44.235.78.64	10.133.19.67
303	10.133.19.67	44.235.78.64
304	10.133.19.67	44.235.78.64
305	44.235.78.64	10.133.19.67
306	44.235.78.64	10.133.19.67
307	44.235.78.64	10.133.19.67
308	44.235.78.64	10.133.19.67
309	44.235.78.64	10.133.19.67
310	44.235.78.64	10.133.19.67
311	44.235.78.64	10.133.19.67
312	44.235.78.64	10.133.19.67
313	44.235.78.64	10.133.19.67
314	44.235.78.64	10.133.19.67
315	44.235.78.64	10.133.19.67
316	44.235.78.64	10.133.19.67
317	44.235.78.64	10.133.19.67
318	44.235.78.64	10.133.19.67
319	10.133.19.67	44.235.78.64
320	10.133.19.67	44.235.78.64
321		
322		
323	44.235.78.64	10.133.19.67
324	44.235.78.64	10.133.19.67
325	10.133.19.67	44.235.78.64
326	10.133.19.67	44.235.78.64
327	10.133.19.67	44.235.78.64
328	10.133.19.67	44.235.78.64
329	10.133.19.67	44.235.78.64
330	10.133.19.67	44.235.78.64
331	10.133.19.67	44.235.78.64
